"weight";"word"
"3";"Developer"
"3";"Engineer"
"3";"Fullstack"
"3";"Proactive"
"3";"Software"
"2";"Caring"
"2";"Communication"
"2";"Curious"
"2";"Delivery"
"2";"Fast-learner"
"2";"Impactful"
"2";"Leadership"
"2";"Mentoring"
"2";"Ownership"
"2";"Project Manager"
"2";"Self-taught"
"2";"Teamwork"
"1";"AI-augmented"
"1";"Algolia"
"1";"AWS"
"1";"AzureDevOps"
"1";"Backend"
"1";"CSS"
"1";"Django"
"1";"Docker"
"1";"Elixir"
"1";"Erlang"
"1";"Flask"
"1";"Frontend"
"1";"GCP"
"1";"Git"
"1";"Javascript"
"1";"Linux"
"1";"MacOS"
"1";"Meilisearch"
"1";"Phoenix"
"1";"Postgres"
"1";"Python"
"1";"Rabbitmq"
"1";"React"
"1";"ReactNative"
"1";"Redis"
"1";"Scala"
"1";"Solid"
"1";"SQL"
"1";"Typescript"
"1";"Windows"
